Date,aapl,tsla,msft,gold,spy,amzn
2023-04-27,166.00506591796875,160.19000244140625,297.77801513671875,1989.9000244140625,397.948486328125,109.81999969482422
2023-04-28,167.25689697265625,164.30999755859375,300.1518249511719,1990.0999755859373,401.3450012207031,105.4499969482422
2023-05-01,167.16819763183594,161.8300018310547,298.4911804199219,1983.4000244140625,400.9397277832031,102.0500030517578
2023-05-02,166.13320922851562,160.30999755859375,298.3446655273437,2014.300048828125,396.4335021972656,103.62999725341795
2023-05-03,165.05877685546875,160.61000061035156,297.3579406738281,2028.5999755859373,393.7123718261719,103.6500015258789
2023-05-04,163.42247009277344,161.1999969482422,298.3446655273437,2048.0,390.9237365722656,104.0
2023-05-05,171.0913848876953,170.05999755859375,303.4634094238281,2017.4000244140625,398.1606750488281,105.66000366210938
2023-05-08,171.02236938476562,171.7899932861328,301.5096435546875,2026.300048828125,398.2668762207031,105.83000183105467
2023-05-09,169.3170928955078,169.14999389648438,299.8977966308594,2036.199951171875,396.5203247070313,106.62000274658205
2023-05-10,171.08152770996094,168.5399932861328,305.0849914550781,2030.5,398.37298583984375,110.19000244140624
2023-05-11,171.268798828125,172.0800018310547,302.9359130859375,2014.699951171875,397.67822265625,112.18000030517578
2023-05-12,170.34095764160156,167.97999572753906,301.8222961425781,2014.5,397.1571960449219,110.26000213623048
2023-05-15,169.847412109375,166.35000610351562,302.3009033203125,2018.0,398.52740478515625,111.1999969482422
2023-05-16,169.847412109375,166.52000427246094,304.5281982421875,1988.4000244140625,395.8641662597656,113.4000015258789
2023-05-17,170.4593963623047,173.86000061035156,307.40643310546875,1980.699951171875,400.6696166992188,115.5
2023-05-18,172.78890991210938,176.88999938964844,311.8314514160156,1956.5,404.529296875,118.1500015258789
2023-05-19,172.89749145507812,180.13999938964844,311.6553039550781,1978.699951171875,403.9406433105469,116.25
2023-05-22,171.94992065429688,188.8699951171875,314.4356689453125,1974.800048828125,404.104736328125,115.01000213623048
2023-05-23,169.34397888183594,185.7700042724609,308.63995361328125,1972.4000244140625,399.5695190429688,114.98999786376952
2023-05-24,169.62034606933594,182.8999938964844,307.25958251953125,1962.800048828125,396.6747741699219,116.75
2023-05-25,170.7555389404297,184.47000122070312,319.076171875,1943.0999755859373,400.1098327636719,115.0
2023-05-26,173.1639862060547,193.1699981689453,325.8998107910156,1944.0999755859373,405.2915649414063,120.11000061035156
2023-05-30,175.00985717773438,201.1600036621093,324.2550048828125,1958.0,405.4459838867188,121.66000366210938
2023-05-31,174.96051025390625,203.92999267578125,321.4942626953125,1963.9000244140625,403.1976623535156,120.58000183105467
2023-06-01,177.76380920410156,207.5200042724609,325.5963134765625,1978.0,407.0285034179688,122.7699966430664
2023-06-02,178.6127166748047,213.97000122070312,328.3570861816406,1952.4000244140625,412.91455078125,124.25
2023-06-05,177.26039123535156,217.6100006103516,328.8857421875,1958.0,412.1233215332031,125.3000030517578
2023-06-06,176.8951873779297,221.3099975585937,326.6732177734375,1965.5,413.0206909179688,126.61000061035156
2023-06-07,175.52316284179688,224.57000732421875,316.5894775390625,1942.699951171875,411.5925598144531,121.2300033569336
2023-06-08,178.23764038085938,234.8600006103516,318.4300231933594,1963.5999755859373,414.0821533203125,124.25
2023-06-09,178.62258911132812,244.3999938964844,319.9278259277344,1962.199951171875,414.8251037597656,123.43000030517578
2023-06-12,181.416015625,249.8300018310547,324.881591796875,1955.300048828125,418.58837890625,126.56999969482422
2023-06-13,180.94219970703125,258.7099914550781,327.2704162597656,1944.5999755859373,421.3480529785156,126.66000366210938
2023-06-14,181.573959350586,256.7900085449219,330.25634765625,1955.300048828125,421.8498229980469,126.41999816894533
2023-06-15,183.6073303222656,255.8999938964844,340.7904357910156,1957.800048828125,427.0798034667969,127.11000061035156
2023-06-16,182.5314483642578,260.5400085449219,335.1414794921875,1958.4000244140625,425.62506103515625,125.48999786376952
2023-06-20,182.6202545166016,274.45001220703125,330.9514465332031,1935.5,423.4168395996094,125.77999877929688
2023-06-21,181.5838317871093,259.4599914550781,326.5557556152344,1933.300048828125,421.2473754882813,124.83000183105467
2023-06-22,184.5845489501953,264.6099853515625,332.5765686035156,1912.699951171875,422.76800537109375,130.14999389648438
2023-06-23,184.2686767578125,256.6000061035156,327.98504638671875,1919.0999755859373,419.57177734375,129.3300018310547
2023-06-26,182.87692260742188,241.0500030517578,321.6998291015625,1923.699951171875,417.8575439453125,127.33000183105467
2023-06-27,185.63087463378903,250.2100067138672,327.54449462890625,1914.0,422.438720703125,129.17999267578125
2023-06-28,186.8054656982422,256.239990234375,328.7976379394531,1912.300048828125,422.6517639160156,129.0399932861328
2023-06-29,187.1410980224609,257.5,328.014404296875,1909.199951171875,424.3175659179688,127.9000015258789
2023-06-30,191.46453857421875,261.7699890136719,333.3891296386719,1921.0999755859373,429.3247985839844,130.36000061035156
2023-07-03,189.9740447998047,279.82000732421875,330.89263916015625,1921.699951171875,429.8187561035156,130.22000122070312
2023-07-05,188.85861206054688,282.4800109863281,331.0493469238281,1919.5999755859373,429.1795043945313,130.3800048828125
2023-07-06,189.3324279785156,276.5400085449219,334.1037902832031,1908.699951171875,425.8187561035156,128.36000061035156
2023-07-07,188.2169952392578,274.42999267578125,330.13885498046875,1926.199951171875,424.7437133789063,129.77999877929688
2023-07-10,186.1737823486328,269.6099853515625,324.862060546875,1925.0,425.8187561035156,127.12999725341795
2023-07-11,185.65057373046875,269.7900085449219,325.4886169433594,1931.300048828125,428.5306701660156,128.77999877929688
2023-07-12,187.3187866210937,271.989990234375,330.1192626953125,1956.199951171875,431.9785461425781,130.8000030517578
2023-07-13,188.07882690429688,277.8999938964844,335.4646301269531,1959.199951171875,435.4071044921875,134.3000030517578
2023-07-14,188.2268981933593,281.3800048828125,337.9903869628906,1960.0999755859373,435.1358947753906,134.67999267578125
2023-07-17,191.4842834472656,290.3800048828125,338.4701843261719,1952.4000244140625,436.6468200683594,133.55999755859375
2023-07-18,191.22764587402344,293.3399963378906,351.941162109375,1977.199951171875,439.8913269042969,132.8300018310547
2023-07-19,192.57994079589844,291.260009765625,347.6238098144531,1977.5,440.8695373535156,135.36000061035156
2023-07-20,190.6353912353516,262.8999938964844,339.5862121582031,1968.300048828125,437.9446105957031,129.9600067138672
2023-07-21,189.4607391357422,260.0199890136719,336.55133056640625,1964.300048828125,437.9446105957031,130.0
2023-07-24,190.2602996826172,269.0599975585937,337.8631591796875,1960.300048828125,439.9010620117188,128.8000030517578
2023-07-25,191.1190490722656,265.2799987792969,343.6098937988281,1962.0999755859373,441.10198974609375,129.1300048828125
2023-07-26,191.98768615722656,264.3500061035156,330.6772766113281,1968.9000244140625,441.1697692871094,128.14999389648438
2023-07-27,190.7242126464844,255.7100067138672,323.7753295898437,1945.4000244140625,438.244873046875,128.25
2023-07-28,193.3004913330078,266.44000244140625,331.2646789550781,1960.4000244140625,442.5354614257813,132.2100067138672
2023-07-31,193.91249084472656,267.42999267578125,328.8661499023437,1970.5,443.3780212402344,133.67999267578125
2023-08-01,193.0833435058593,261.07000732421875,329.2773742675781,1940.699951171875,442.10931396484375,131.69000244140625
2023-08-02,190.0924835205078,254.1100006103516,320.6229553222656,1937.4000244140625,435.9591979980469,128.2100067138672
2023-08-03,188.7006683349609,259.32000732421875,319.80059814453125,1932.0,434.7098083496094,128.91000366210938
2023-08-04,179.6392822265625,253.8600006103516,320.8970642089844,1939.5999755859373,432.7436828613281,139.57000732421875
2023-08-07,176.53985595703125,251.4499969482422,323.1781005859375,1933.5,436.52093505859375,142.22000122070312
2023-08-08,177.4775848388672,249.6999969482422,319.2033996582031,1924.0999755859373,434.6225891113281,139.94000244140625
2023-08-09,175.88833618164062,242.19000244140625,315.46356201171875,1915.4000244140625,431.7170715332031,137.85000610351562
